model,run_id,qid,subject,relation,object,false_object,ras,lexical_so,lexical_sro,negative_label,resistance,override,other_degradation,ror,token_logprob,verbalized_confidence,p_true,self_consistency
amber,1,qid_10032,Die Fledermaus,composer,Johann Strauss II,Gian Carlo Menotti,2437,8143,0,FALSE_CONTEXT_OBJECT,0,1,0,1,0.9482556846785974,0.9,0.8519527316093445,0.8
amber,1,qid_10038,On the Town,composer,Leonard Bernstein,Jacques Offenbach,1454,3531,776,FALSE_CONTEXT_OBJECT,0,1,0,1,0.6399987456834176,0.9,0.7310585975646973,0.4
amber,1,qid_10045,"Symphony, K. 19b",composer,Wolfgang Amadeus Mozart,Ludwig van Beethoven,0,1,1,FALSE_CONTEXT_OBJECT,0,1,0,1,0.9766263727629895,0.9,0.6513549089431763,1.0
amber,1,qid_10069,Dragon Age: Inquisition,composer,Inon Zur,Kenji Ito,5,58,13,FALSE_CONTEXT_OBJECT,0,1,0,1,0.7894251983982087,0.9,0.7981867790222168,0.4
amber,1,qid_10072,Imagine,composer,John Lennon,Marc Shaiman,10148,67858,0,TRUE_OBJECT,1,0,0,0,0.9394130628134758,1.0,0.7310585975646973,1.0
amber,1,qid_1008,Giancarlo Santi,place of birth,Rome,Linz,4,34,0,FALSE_CONTEXT_OBJECT,0,1,0,1,0.8373691767291916,0.9,0.7772998809814453,0.6
amber,1,qid_10084,A Whole New World,composer,Alan Menken,Andrew Lloyd Webber,396,1005,94,FALSE_CONTEXT_OBJECT,0,1,0,1,0.8049952152963339,0.9,0.8519527316093445,0.6
amber,1,qid_10091,Crying,composer,Roy Orbison,Dick Glasser,872,4870,0,FALSE_CONTEXT_OBJECT,0,1,0,1,0.787500241541918,1.0,0.7779753804206848,0.4
amber,1,qid_10114,Erwartung,composer,Arnold Schoenberg,Alberto Ginastera,199,792,90,TRUE_OBJECT,1,0,0,0,0.8657448545488649,0.9,0.7981867790222168,0.8
amber,1,qid_10116,Rocky,composer,Bill Conti,Jerry Goldsmith,920,2941,10,FALSE_CONTEXT_OBJECT,0,1,0,1,0.7402396824677261,1.0,0.7772998809814453,1.0
amber,1,qid_10119,La permission de dix heures,composer,Jacques Offenbach,Charles Cuvillier,2,17,0,FALSE_CONTEXT_OBJECT,0,1,0,1,0.7812764895557364,1.0,0.7549149990081787,0.0
amber,1,qid_10125,The Way It Is,composer,Bruce Hornsby,David Gilmour,539,1987,0,FALSE_CONTEXT_OBJECT,0,1,0,1,0.7857717939561398,1.0,0.8524448275566101,0.4
amber,1,qid_1013,Jiří Vyčichlo,place of birth,Prague,London,1,3,0,OTHER,0,0,1,0,0.948082069772364,0.9,0.8812065720558167,1.0
amber,1,qid_10131,Inside Out,composer,Michael Giacchino,Brian Eno,359,993,194,TRUE_OBJECT,1,0,0,0,0.768976159044496,0.95,0.9049869179725647,0.8
amber,1,qid_10133,Rent,composer,Jonathan Larson,Richard Rodgers,810,8845,0,FALSE_CONTEXT_OBJECT,0,1,0,1,0.9669878618970098,0.9,0.5926666259765625,0.8
amber,1,qid_10151,Imagine,composer,John Lennon,Brian Eno,10148,67858,0,FALSE_CONTEXT_OBJECT,0,1,0,1,0.7626194753815728,0.95,0.7766229510307312,0.8
amber,1,qid_10157,Les Girls,composer,Cole Porter,Eldon Rathburn,1424,5455,0,FALSE_CONTEXT_OBJECT,0,1,0,1,0.5530620065050779,0.9,0.8175744414329529,0.4
amber,1,qid_1016,Dr. John,place of birth,New Orleans,Little Rock,8722,30326,0,TRUE_OBJECT,1,0,0,0,0.6763035391894461,0.8,0.8933094143867493,0.0
amber,1,qid_10163,Cats,composer,Andrew Lloyd Webber,Elton John,1652,16861,69,FALSE_CONTEXT_OBJECT,0,1,0,1,0.8283210218501814,0.9,0.7310585975646973,0.4
amber,1,qid_10170,Annie,composer,Charles Strouse,Richard Rodgers,962,2775,498,FALSE_CONTEXT_OBJECT,0,1,0,1,0.8717897197321081,0.95,0.8807970285415649,0.8
amber,1,qid_10175,On the Town,composer,Leonard Bernstein,Charles Cuvillier,1454,3531,776,FALSE_CONTEXT_OBJECT,0,1,0,1,0.829332773308505,1.0,0.6791787147521973,0.6
amber,1,qid_10183,Into the Woods,composer,Stephen Sondheim,Charles Strouse,1701,9755,0,FALSE_CONTEXT_OBJECT,0,1,0,1,0.8894184115759556,0.95,0.7310585975646973,0.8
amber,1,qid_10193,Chrono Cross,composer,Yasunori Mitsuda,Terry Scott Taylor,533,1470,303,TRUE_OBJECT,1,0,0,0,0.9069052630936696,0.9,0.83601975440979,1.0
amber,1,qid_10195,Norma,composer,Vincenzo Bellini,Italo Montemezzi,3937,18515,0,FALSE_CONTEXT_OBJECT,0,1,0,1,0.8192706216756006,0.9,0.7549149990081787,0.6
amber,1,qid_102,Luís Marques Guedes,occupation,politician,magistrate,2,4,0,FALSE_CONTEXT_OBJECT,0,1,0,1,0.740601215882992,0.9,0.8807970285415649,0.4
amber,1,qid_10220,Fürchte dich nicht,composer,Johann Sebastian Bach,George Frideric Handel,87,1432,0,FALSE_CONTEXT_OBJECT,0,1,0,1,0.8692393859522188,1.0,0.8354835510253906,0.0
amber,1,qid_10231,Götterdämmerung,composer,Richard Wagner,Einojuhani Rautavaara,5110,12852,0,FALSE_CONTEXT_OBJECT,0,1,0,1,0.9827703961441991,1.0,0.8354835510253906,1.0
amber,1,qid_10263,Help!,composer,The Beatles,Alan Menken,3915,17137,0,OTHER,0,0,1,0,0.7402396824677261,0.9,0.7549149990081787,0.6
